num,session,code,sequence,date,scanner,dictionary,map,array,sphere,sphere_name_sh,NIST_name,long_name,conc,area,ref,ref_sd,temp_coef,tc_mean,tc_rd,mean,stdv,min,max,temp
38,3,PH035,MRF,24/01/2020,PRISMA,MRF 1500,T1,T2a,S6,S6_T2a,MnCl2-6,S1500T1MnCl2-6,0.0934,80,1026.43,25.66,30.39,953.83,-7.072904605,998.5,36.112,920,1080,21.47
39,3,PH035,MRF,24/01/2020,PRISMA,MRF 1500,T1,T2a,S7,S7_T2a,MnCl2-7,S1500T1MnCl2-7,0.1353,80,805.1,20.13,21.33,687.15,-14.65012012,718.5,29.643,660,800,21.47
40,3,PH035,MRF,24/01/2020,PRISMA,MRF 1500,T1,T2a,S8,S8_T2a,MnCl2-8,S1500T1MnCl2-8,0.193,80,599.96,15,16.08,528.11,-11.97569888,551.75,16.13,500,580,21.47
41,3,PH035,MRF,24/01/2020,PRISMA,MRF 3000,T1,T2a,S1,S1_T2a,MnCl2-1,S3000T1MnCl2-1,0.0108,80,3025.17,75.63,66.54,2419.68,-20.01497718,2517.5,63.195,2350,2650,21.47
42,3,PH035,MRF,24/01/2020,PRISMA,MRF 3000,T1,T2a,S2,S2_T2a,MnCl2-2,S3000T1MnCl2-2,0.0181,80,2185.54,54.64,59.2,2130.47,-2.519544442,2217.5,52.229,2050,2350,21.47
43,3,PH035,MRF,24/01/2020,PRISMA,MRF 3000,T1,T2a,S3,S3_T2a,MnCl2-3,S3000T1MnCl2-3,0.0282,80,1901.28,47.53,50.23,1831.67,-3.661363446,1905.5,57.366,1760,2000,21.47
44,3,PH035,MRF,24/01/2020,PRISMA,MRF 3000,T1,T2a,S4,S4_T2a,MnCl2-4,S3000T1MnCl2-4,0.0434,80,1549.98,38.75,41.93,1469.86,-5.169227724,1531.5,45.98,1440,1640,21.47
45,3,PH035,MRF,24/01/2020,PRISMA,MRF 3000,T1,T2a,S5,S5_T2a,MnCl2-5,S3000T1MnCl2-5,0.0626,80,1510.76,37.77,36.34,1224.58,-18.94304641,1278,42.169,1160,1360,21.47
46,3,PH035,MRF,24/01/2020,PRISMA,MRF 3000,T1,T2a,S6,S6_T2a,MnCl2-6,S3000T1MnCl2-6,0.0934,80,1026.43,25.66,28.61,943.69,-8.06106027,985.75,33.707,920,1080,21.47
47,3,PH035,MRF,24/01/2020,PRISMA,MRF 3000,T1,T2a,S7,S7_T2a,MnCl2-7,S3000T1MnCl2-7,0.1353,80,805.1,20.13,20.26,690.97,-14.17616022,720.75,22.601,660,780,21.47
48,3,PH035,MRF,24/01/2020,PRISMA,MRF 3000,T1,T2a,S8,S8_T2a,MnCl2-8,S3000T1MnCl2-8,0.193,80,599.96,15,15.67,522.21,-12.95917672,545.25,17.645,520,600,21.47
49,4,PH036,MRF,27/01/2020,PRISMA,MRF 1500,T1,T2a,S1,S1_T2a,MnCl2-1,S1500T1MnCl2-1,0.0108,80,3025.17,75.63,70.03,2457.9,-18.75166169,2558.75,53.234,2450,2650,21.44
50,4,PH036,MRF,27/01/2020,PRISMA,MRF 1500,T1,T2a,S2,S2_T2a,MnCl2-2,S1500T1MnCl2-2,0.0181,80,2185.54,54.64,62.15,2139.26,-2.11774143,2228.75,44.134,2150,2350,21.44
51,4,PH036,MRF,27/01/2020,PRISMA,MRF 1500,T1,T2a,S3,S3_T2a,MnCl2-3,S1500T1MnCl2-3,0.0282,80,1901.28,47.53,53.06,1830.73,-3.710895209,1907.125,50.371,1800,2050,21.44
52,4,PH036,MRF,27/01/2020,PRISMA,MRF 1500,T1,T2a,S4,S4_T2a,MnCl2-4,S1500T1MnCl2-4,0.0434,80,1549.98,38.75,43.64,1486.15,-4.117886543,1549,44.992,1440,1640,21.44
53,4,PH036,MRF,27/01/2020,PRISMA,MRF 1500,T1,T2a,S5,S5_T2a,MnCl2-5,S1500T1MnCl2-5,0.0626,80,1510.76,37.77,38.33,1234.31,-18.29902011,1289.5,41.853,1160,1400,21.44
54,4,PH036,MRF,27/01/2020,PRISMA,MRF 1500,T1,T2a,S6,S6_T2a,MnCl2-6,S1500T1MnCl2-6,0.0934,80,1026.43,25.66,30.39,942.49,-8.177548828,986.25,30.289,920,1080,21.44
55,4,PH036,MRF,27/01/2020,PRISMA,MRF 1500,T1,T2a,S7,S7_T2a,MnCl2-7,S1500T1MnCl2-7,0.1353,80,805.1,20.13,21.33,686.04,-14.78802132,716.75,27.457,660,800,21.44
56,4,PH036,MRF,27/01/2020,PRISMA,MRF 1500,T1,T2a,S8,S8_T2a,MnCl2-8,S1500T1MnCl2-8,0.193,80,599.96,15,16.08,523.34,-12.77034573,546.5,15.839,520,600,21.44
57,4,PH036,MRF,27/01/2020,PRISMA,MRF 3000,T1,T2a,S1,S1_T2a,MnCl2-1,S3000T1MnCl2-1,0.0108,80,3025.17,75.63,66.54,2404.18,-20.52746848,2500,57.368,2350,2650,21.44
58,4,PH036,MRF,27/01/2020,PRISMA,MRF 3000,T1,T2a,S2,S2_T2a,MnCl2-2,S3000T1MnCl2-2,0.0181,80,2185.54,54.64,59.2,2102.25,-3.810939992,2187.5,55.972,2050,2350,21.44
