num,session,code,sequence,date,scanner,dictionary,map,array,sphere_num,sphere,sphere_name_sh,NIST_name,conc,mean,stdv,temp
,ref,ref,ref,ref,ref,ref,T1,T2a,4,S4,S4_T2a,MnCl2-4,0.0434,1341.07,33.53,16
,ref,ref,ref,ref,ref,ref,T1,T2a,4,S4,S4_T2a,MnCl2-4,0.0434,1466.78,36.67,18
,ref,ref,ref,ref,ref,ref,T1,T2a,4,S4,S4_T2a,MnCl2-4,0.0434,1549.98,38.75,20
,ref,ref,ref,ref,ref,ref,T1,T2a,4,S4,S4_T2a,MnCl2-4,0.0434,1626.53,40.66,22
,ref,ref,ref,ref,ref,ref,T1,T2a,4,S4,S4_T2a,MnCl2-4,0.0434,1715.06,42.88,24
,ref,ref,ref,ref,ref,ref,T1,T2a,4,S4,S4_T2a,MnCl2-4,0.0434,1801.61,45.04,26
,ref,ref,ref,ref,ref,ref,T1,T1a,4,S4,S4_T1a,NiCl2-4,1.64,675.07,9.94,16
,ref,ref,ref,ref,ref,ref,T1,T1a,4,S4,S4_T1a,NiCl2-4,1.64,686.88,10.02,18
,ref,ref,ref,ref,ref,ref,T1,T1a,4,S4,S4_T1a,NiCl2-4,1.64,690.08,10.12,20
,ref,ref,ref,ref,ref,ref,T1,T1a,4,S4,S4_T1a,NiCl2-4,1.64,695.01,9.94,22
,ref,ref,ref,ref,ref,ref,T1,T1a,4,S4,S4_T1a,NiCl2-4,1.64,701.06,10.02,24
,ref,ref,ref,ref,ref,ref,T1,T1a,4,S4,S4_T1a,NiCl2-4,1.64,709.48,10.12,26
,ref,ref,ref,ref,ref,ref,T2,T1a,4,S4,S4_T1a,NiCl2-4,1.64,519.26,6.45,16
,ref,ref,ref,ref,ref,ref,T2,T1a,4,S4,S4_T1a,NiCl2-4,1.64,520.94,6.49,18
,ref,ref,ref,ref,ref,ref,T2,T1a,4,S4,S4_T1a,NiCl2-4,1.64,521.27,6.57,20
,ref,ref,ref,ref,ref,ref,T2,T1a,4,S4,S4_T1a,NiCl2-4,1.64,523.08,6.45,22
,ref,ref,ref,ref,ref,ref,T2,T1a,4,S4,S4_T1a,NiCl2-4,1.64,528.55,6.49,24
,ref,ref,ref,ref,ref,ref,T2,T1a,4,S4,S4_T1a,NiCl2-4,1.64,538.22,6.57,26
,ref,ref,ref,ref,ref,ref,T2,T2a,5,S5,S5_T2a,MnCl2-5,0.0626,154.07,1.45,16
,ref,ref,ref,ref,ref,ref,T2,T2a,5,S5,S5_T2a,MnCl2-5,0.0626,159.77,1.5,18
,ref,ref,ref,ref,ref,ref,T2,T2a,5,S5,S5_T2a,MnCl2-5,0.0626,166.9,1.57,20
,ref,ref,ref,ref,ref,ref,T2,T2a,5,S5,S5_T2a,MnCl2-5,0.0626,172.51,1.62,22
,ref,ref,ref,ref,ref,ref,T2,T2a,5,S5,S5_T2a,MnCl2-5,0.0626,180.8,1.7,24
,ref,ref,ref,ref,ref,ref,T2,T2a,5,S5,S5_T2a,MnCl2-5,0.0626,188.16,1.77,26
,ref,ref,ref,ref,ref,ref,T1,T2a,5,S5,S5_T2a,MnCl2-5,0.0626,1307.88,32.7,16
,ref,ref,ref,ref,ref,ref,T1,T2a,5,S5,S5_T2a,MnCl2-5,0.0626,1417.53,35.44,18
,ref,ref,ref,ref,ref,ref,T1,T2a,5,S5,S5_T2a,MnCl2-5,0.0626,1510.76,37.77,20
,ref,ref,ref,ref,ref,ref,T1,T2a,5,S5,S5_T2a,MnCl2-5,0.0626,1589.88,39.75,22
,ref,ref,ref,ref,ref,ref,T1,T2a,5,S5,S5_T2a,MnCl2-5,0.0626,1687.39,42.18,24
,ref,ref,ref,ref,ref,ref,T1,T2a,5,S5,S5_T2a,MnCl2-5,0.0626,1774.24,44.36,26
,ref,ref,ref,ref,ref,ref,T1,T1a,5,S5,S5_T1a,NiCl2-5,2.52,483.91,6.95,16
,ref,ref,ref,ref,ref,ref,T1,T1a,5,S5,S5_T1a,NiCl2-5,2.52,482.91,7.01,18
,ref,ref,ref,ref,ref,ref,T1,T1a,5,S5,S5_T1a,NiCl2-5,2.52,484.97,7.06,20
,ref,ref,ref,ref,ref,ref,T1,T1a,5,S5,S5_T1a,NiCl2-5,2.52,486.92,6.95,22
