num,session,code,sequence,date,scanner,dictionary,map,array,sphere,sphere_name_sh,NIST_name,conc,area,mean,stdv,min,max,temp
49,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T2,T1a,S2,S2_T1a,NiCl2-2,0.6,80,762.5,46.728,650,900,20.62
50,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T2,T1a,S3,S3_T1a,NiCl2-3,1.04,80,566.25,28.435,500,650,20.62
51,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T2,T1a,S4,S4_T1a,NiCl2-4,1.64,80,446.25,27.299,400,500,20.62
52,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T2,T1a,S5,S5_T1a,NiCl2-5,2.52,80,307.125,23.503,270,350,20.62
53,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T2,T2a,S1,S1_T2a,MnCl2-1,0.0108,80,574.375,38.148,500,650,20.62
54,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T2,T2a,S2,S2_T2a,MnCl2-2,0.0181,80,359.375,31.915,300,450,20.62
55,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T2,T2a,S3,S3_T2a,MnCl2-3,0.0282,80,255.75,18.676,210,290,20.62
56,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T2,T2a,S4,S4_T2a,MnCl2-4,0.0434,80,200.625,18.235,160,260,20.62
57,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T2,T2a,S5,S5_T2a,MnCl2-5,0.0626,80,133.062,12.078,110,170,20.62
58,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T2,T2a,S6,S6_T2a,MnCl2-6,0.0934,80,98.975,8.422,80,120,20.62
59,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T2,T2a,S7,S7_T2a,MnCl2-7,0.1353,80,65.275,6.608,50,82,20.62
60,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T2,T2a,S8,S8_T2a,MnCl2-8,0.193,80,44.25,4.788,36,54,20.62
61,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T1,T1a,S1,S1_T1a,NiCl2-1,0.29,80,1871.5,55.005,1760,1960,20.62
62,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T1,T1a,S2,S2_T1a,NiCl2-2,0.6,80,1297,38.067,1240,1400,20.62
63,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T1,T1a,S3,S3_T1a,NiCl2-3,1.04,80,919.25,34.339,840,980,20.62
64,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T1,T1a,S4,S4_T1a,NiCl2-4,1.64,80,671.5,34.092,580,760,20.62
65,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T1,T1a,S5,S5_T1a,NiCl2-5,2.52,80,484.25,28.586,440,540,20.62
66,1,PH038,VFA,29/01/2020,PRISMA,VFA,T1,T2a,S1,S1_T2a,MnCl2-1,0.0108,80,2583.025,50.637,2472,2751,20.62
67,1,PH038,VFA,29/01/2020,PRISMA,VFA,T1,T2a,S2,S2_T2a,MnCl2-2,0.0181,80,2508.4,61.466,2383,2634,20.62
68,1,PH038,VFA,29/01/2020,PRISMA,VFA,T1,T2a,S3,S3_T2a,MnCl2-3,0.0282,80,2110.238,60.269,2009,2230,20.62
69,1,PH038,VFA,29/01/2020,PRISMA,VFA,T1,T2a,S4,S4_T2a,MnCl2-4,0.0434,80,1553.338,27.376,1503,1607,20.62
70,1,PH038,VFA,29/01/2020,PRISMA,VFA,T1,T2a,S5,S5_T2a,MnCl2-5,0.0626,80,1506.975,40.859,1396,1602,20.62
71,1,PH038,VFA,29/01/2020,PRISMA,VFA,T1,T2a,S6,S6_T2a,MnCl2-6,0.0934,80,1099.812,20.881,1047,1141,20.62
72,1,PH038,VFA,29/01/2020,PRISMA,VFA,T1,T2a,S7,S7_T2a,MnCl2-7,0.1353,80,857.237,33.041,787,918,20.62
73,1,PH038,VFA,29/01/2020,PRISMA,VFA,T1,T2a,S8,S8_T2a,MnCl2-8,0.193,80,681.438,33.525,604,737,20.62
74,1,PH038,VFA,29/01/2020,PRISMA,VFA,T1,T1a,S1,S1_T1a,NiCl2-1,0.29,80,1886.325,36.441,1825,1982,20.62
75,1,PH038,VFA,29/01/2020,PRISMA,VFA,T1,T1a,S2,S2_T1a,NiCl2-2,0.6,80,1498.037,39.212,1419,1584,20.62
76,1,PH038,VFA,29/01/2020,PRISMA,VFA,T1,T1a,S3,S3_T1a,NiCl2-3,1.04,80,1089.513,32.314,1034,1150,20.62
77,1,PH038,VFA,29/01/2020,PRISMA,VFA,T1,T1a,S4,S4_T1a,NiCl2-4,1.64,80,718.425,18.38,672,763,20.62
78,1,PH038,VFA,29/01/2020,PRISMA,VFA,T1,T1a,S5,S5_T1a,NiCl2-5,2.52,80,540.712,17.6,492,582,20.62
79,2,PH039,MESE,30/01/2020,PRISMA,MESE,T2,T1a,S1,S1_T1a,NiCl2-1,0.29,80,1457.35,161.214,1107,1911,21.74
80,2,PH039,MESE,30/01/2020,PRISMA,MESE,T2,T1a,S2,S2_T1a,NiCl2-2,0.6,80,805.55,1151.623,0,2856,21.74
81,2,PH039,MESE,30/01/2020,PRISMA,MESE,T2,T1a,S3,S3_T1a,NiCl2-3,1.04,80,1266.35,296.329,879,2090,21.74
82,2,PH039,MESE,30/01/2020,PRISMA,MESE,T2,T1a,S4,S4_T1a,NiCl2-4,1.64,80,626.312,52.697,531,838,21.74
83,2,PH039,MESE,30/01/2020,PRISMA,MESE,T2,T1a,S5,S5_T1a,NiCl2-5,2.52,80,390.625,14.927,361,432,21.74
84,2,PH039,MESE,30/01/2020,PRISMA,MESE,T2,T2a,S1,S1_T2a,MnCl2-1,0.0108,80,604.05,9.045,575,635,21.74
85,2,PH039,MESE,30/01/2020,PRISMA,MESE,T2,T2a,S2,S2_T2a,MnCl2-2,0.0181,80,410.55,5.654,391,423,21.74
86,2,PH039,MESE,30/01/2020,PRISMA,MESE,T2,T2a,S3,S3_T2a,MnCl2-3,0.0282,80,285.988,3.922,276,293,21.74
87,2,PH039,MESE,30/01/2020,PRISMA,MESE,T2,T2a,S4,S4_T2a,MnCl2-4,0.0434,80,192.588,2.876,186,197,21.74
88,2,PH039,MESE,30/01/2020,PRISMA,MESE,T2,T2a,S5,S5_T2a,MnCl2-5,0.0626,80,140.338,2.294,135,144,21.74
89,2,PH039,MESE,30/01/2020,PRISMA,MESE,T2,T2a,S6,S6_T2a,MnCl2-6,0.0934,80,97.338,1.882,93,100,21.74
90,2,PH039,MESE,30/01/2020,PRISMA,MESE,T2,T2a,S7,S7_T2a,MnCl2-7,0.1353,80,67.213,1.659,63,70,21.74
91,2,PH039,MESE,30/01/2020,PRISMA,MESE,T2,T2a,S8,S8_T2a,MnCl2-8,0.193,80,49.075,1.565,45,53,21.74
92,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T2a,S1,S1_T2a,MnCl2-1,0.0108,80,2568.75,55.333,2450,2650,21.74
93,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T2a,S2,S2_T2a,MnCl2-2,0.0181,80,2236.25,52.153,2150,2350,21.74
94,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T2a,S3,S3_T2a,MnCl2-3,0.0282,80,1892.5,45.715,1800,2000,21.74
95,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T2a,S4,S4_T2a,MnCl2-4,0.0434,80,1555,44.266,1480,1640,21.74
96,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T2a,S5,S5_T2a,MnCl2-5,0.0626,80,1294.5,39.359,1200,1360,21.74
97,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T2a,S6,S6_T2a,MnCl2-6,0.0934,80,991.25,31.638,900,1040,21.74
98,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T2a,S7,S7_T2a,MnCl2-7,0.1353,80,717,23.621,660,780,21.74
99,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T1,T2a,S8,S8_T2a,MnCl2-8,0.193,80,549.75,16.837,520,580,21.74
100,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T2,T1a,S1,S1_T1a,NiCl2-1,0.29,80,1022.5,81.092,900,1200,21.74
101,2,PH039,MRF,30/01/2020,PRISMA,MRF 1500,T2,T1a,S2,S2_T1a,NiCl2-2,0.6,80,768.125,45.175,650,900,21.74
